date,next_date,n_stocks,pred_sigma_daily,pred_sigma_annual,realized_return_next,factor_var_daily,specific_var_daily,factor_risk_share,specific_risk_share,factor_vol_annual_component,specific_vol_annual_component,z,realized_vol_daily_rolling,realized_vol_annual_rolling
2023-12-21,2023-12-22,492,0.008853398599781659,0.1405433457164984,0.0028274049736322178,7.797277776962682e-05,4.0988899698899163e-07,0.9947706678798077,0.005229332120192274,0.14017539012945873,0.010163268531394116,0.31935814724324585,0.008152515719357252,0.1294171749177848
2023-12-22,2023-12-26,492,0.008834939669126528,0.14025031927660844,0.005728875044340666,7.764721619959617e-05,4.0894275750939323e-07,0.9947609162047787,0.005239083795221346,0.13988244522561877,0.010151530667459321,0.648433974525041,0.008169622957431007,0.1296887439031588
2023-12-26,2023-12-27,492,0.008822367093083873,0.14005073581931857,0.001452301406203854,7.742661235317781e-05,4.075487719513949e-07,0.9947638830295068,0.005236116970493248,0.13968359357133112,0.01013421385859562,0.1646158441244593,0.008086960758946654,0.12837652218306606
2023-12-27,2023-12-28,492,0.008802906082903487,0.13974180186012217,0.0013677676613371654,7.708506640229844e-05,4.060891021207622e-07,0.994759542563569,0.005240457436430968,0.1393751654111277,0.010116049314551213,0.1553768322024436,0.008036851640776306,0.12758106459249313
2023-12-28,2023-12-29,492,0.008783560330044989,0.13943469755418875,-0.003968625772014812,7.674632727839776e-05,4.0460479314228796e-07,0.9947556720019,0.005244327998099991,0.13906859629030643,0.010097544645697615,-0.4518242743138858,0.008209105470528293,0.1303155093679064
2023-12-29,2024-01-02,492,0.008768658669837219,0.13919814103199826,-0.0021326036965078196,7.648632060342251e-05,4.0305426468892515e-07,0.9947579978978853,0.005242002102114698,0.1388328231797599,0.010078178143970723,-0.24320751631530996,0.008242308016575498,0.13084258344631686
2024-01-02,2024-01-03,492,0.008750775240104753,0.13891425038603225,-0.013562480936946082,7.617286489469662e-05,4.032024081337612e-07,0.9947346158880261,0.005265384111973821,0.13854804925896122,0.010080030101627068,-1.549860505477196,0.008498654102263026,0.13491195140008116
2024-01-03,2024-01-04,492,0.008779776475996169,0.1393746307333255,-0.0009884046107228337,7.668177302812046e-05,4.027019403352422e-07,0.9947758359838341,0.005224164016165833,0.1390100960473244,0.010073772330387512,-0.11257742306140972,0.00850820905491377,0.13506363157109838
2024-01-04,2024-01-05,492,0.008761140504314797,0.13907879385427177,0.0021598178918696867,7.635580051349764e-05,4.017824228477213e-07,0.9947655670296326,0.005234432970367466,0.13871431695899816,0.010062264683341706,0.24652245798432204,0.008204070132252054,0.13023557585083034
2024-01-05,2024-01-08,492,0.008743655075537425,0.13880122127759822,0.011483891188765302,7.605061515155099e-05,4.0088892842037685e-07,0.9947562976916579,0.005243702308342173,0.13843682681349948,0.010051070090390125,1.3133970964722037,0.008445345231780341,0.13406569931625556
